"CarName","SteamId"
"McLaren 650S GT3","1097229192"
"Bentley Continental GT3","1097230662"
"Callaway Corvette C7 GT3-R","1097232188"
"Mercedes AMG GT3","1097232656"
"Radical RXC Turbo GT3","1097232726"
"Formula E 2018 Car","1214555461"
"KartSim Rental Kart","1344542862"
"KartSim X30 Kart","1344546612"
"Corvette C7.R","1411387394"
"Porsche 911 RSR","1411394979"
"BMW M8 GTE","1411402133"
"Norma M30 LMP3","1411402158"
"Oreca 07 LMP2","1411402194"
"Formula E Gen2 2019-2022 Car","1558324776"
"McLaren 720S GT3","1596821875"
"BMW M6 GT3","1596822133"
"Porsche 911 GT3 R","1596822183"
"Audi R8 LMS GT3","1596822230"
"Aston Martin Vantage GT3","1596822282"
"Formula Vee","1694798885"
"MCR Sports 2000","1694798930"
"MetalMoro AJR","1694798956"
"MetalMoro MR18","1694798990"
"Puma GTE","1694799035"
"Puma P052","1694799073"
"McLaren Senna GTR","1737056888"
"Aston Martin Vantage GTE","1737056920"
"Porsche 911 GT3 Cup","1872951506"
"BMW M2 CS Racing","1923574682"
"Ferrari 488 GTE","2103827595"
"Ferrari 488 GT3 EVO 2020","2103827617"
"Radical SR3 XX","2113612677"
"eX ZERO (2021)","2271976749"
"Cadillac DPi-V.R","2331283978"
"Corvette C8.R GTE","2331284105"
"Ligier JS P217 LMP2","2331284205"
"Formula Pro","2523945426"
"KartSim Iame KZ EU","2531552597"
"KartSim Iame Mini Cadet X30 EU","2531552642"
"KartSim T4 Series","2593493502"
"Ligier JS P320 LMP3","2741380026"
"BMW M4 GT3","2741380074"
"INDYCAR - Dallara IR18","2741380134"
"Toyota Corolla","2804454717"
"Infiniti Q50 V37","2804454732"
"Ford Focus ST","2843759039"
"Hyundai i30 Fastback N Performance","2843759125"
"Austin Mini Cooper S MkI Group 2","2843759175"
"BMW 330i M Sport","2883380637"
"Vauxhall Astra","2883380668"
"Vanwall Vandervell LMH","2883380705"
"Porsche GT3 Cup 992","2904331050"
"Honda Civic Type R","2936315802"
"Formula E Gen3","2961347667"
"Cupra Leon","2979182098"
