"TrackName","SteamId"
"Hong Kong E-Prix Track","1214556324"
"KartSim Buckmore Park International Circuit","1344546674"
"KartSim Paul Fletcher International","1344546766"
"KartSim Glan Y Gors","1344546801"
"Sebring International Raceway","1453463528"
"Imola","1694798655"
"Virginia International Raceway","1694798757"
"Guapore","1694798796"
"Ibarra","1694798829"
"Monaco E-Prix Track","1737056822"
"Nürburgring","1737056846"
"Le Mans 24h","1737056865"
"KartSim Adria","1938469778"
"KartSim Kristianstad","1938469806"
"KartSim Alaharma","1938469836"
"Circuit d'Azur","1938469875"
"New York E-Prix Track","2103827662"
"Berlin E-Prix Track","2103827690"
"Circuit de Spa-Francorchamps","2291867462"
"Diriyah E-Prix Track","2399198802"
"Rome E-Prix Track","2399198882"
"Autodromo Nazionale di Monza","2523945382"
"KartSim Whilton Mill","2531552688"
"KartSim Larkhall WSKC","2531552731"
"KartSim Zuera","2531552785"
"KartSim Wackersdorf","2531552818"
"Daytona International Speedway","2741380185"
"Donington Park","2804454757"
"Brands Hatch","2804454774"
"Laguna Seca","2804454789"
"Loch Drummond","2843798166"
"World Wide Technology Raceway","2843791752"
"Bahrain International Circuit","2883380016"
"Thruxton Circuit","2883380415"
"Croft Circuit","2883380465"
"London E-Prix","2883380493"
"Long Beach Grand Prix Street Circuit","2936315760"
